source_case,similar_case,similarity_score,method,citation_link,source_case_topic
62015CJ0019,62001CJ0192,0.3611853076432053,tfidf,0,public health
62015CJ0019,62015CJ0596,0.36063141770593854,tfidf,1,public health
62015CJ0019,62003CJ0211,0.35903555097872136,tfidf,0,public health
62015CJ0019,62001CJ0236,0.3339046996223215,tfidf,0,public health
62015CJ0019,62008CJ0446,0.3318554688036352,tfidf,0,public health
62015CJ0019,61982CJ0174,0.32902551486249965,tfidf,0,public health
62015CJ0019,61997CJ0107,0.32398571723478914,tfidf,0,public health
62015CJ0019,62015CJ0672,0.3158923541564863,tfidf,0,public health
62015CJ0019,62015CO0637,0.30874073566929044,tfidf,0,public health
62015CJ0019,62001CJ0095,0.3065581017655257,tfidf,0,public health
62015CJ0019,62002CJ0040,0.30217400432803426,tfidf,0,public health
62015CJ0019,62000CJ0024,0.29600288081314535,tfidf,0,public health
62005CO0326(01),62010CO0451(01),0.4686108930942628,tfidf,0,public health
62005CO0326(01),62007CO0204,0.45504611651828,tfidf,0,public health
62005CO0326(01),62006CO0323,0.38736060560507724,tfidf,0,public health
62005CO0326(01),62006CO0323(01),0.38736060560507724,tfidf,0,public health
62005CO0326(01),62004CO0105,0.36632113715868103,tfidf,1,public health
62005CO0326(01),62003CO0039(02),0.34488023639216514,tfidf,0,public health
62005CO0326(01),62010CO0005(02),0.3179421706099662,tfidf,0,public health
62005CO0326(01),62006CO0122(01),0.2963840555322948,tfidf,0,public health
62005CO0326(01),62005CO0104(01),0.2570543615424282,tfidf,0,public health
62005CO0326(01),62009CO0521,0.25620183557988624,tfidf,0,public health
62005CO0326(01),62011CO0540,0.23842203718668767,tfidf,0,public health
62005CO0326(01),62008CO0300(01),0.23705437096210916,tfidf,0,public health
62005CO0326(01),62002CO0186(01),0.21534902909106657,tfidf,0,public health
62005CO0326(01),61967CJ0031,0.21158709273300583,tfidf,0,public health
62005CO0326(01),61989CO0104,0.20636170410076565,tfidf,0,public health
62005CO0326(01),61999CO0077,0.2029627515629438,tfidf,0,public health
62005CO0326(01),61990CO0294,0.19695789931888308,tfidf,0,public health
62005CO0326(01),62009CO0448(01),0.19042838075488902,tfidf,0,public health
62005CO0326(01),61964CJ0045(01),0.18471664268028634,tfidf,0,public health
62005CO0326(01),61992CO0222(01),0.1840228462935079,tfidf,0,public health
